,mensaje,fecha,sentimiento
2640,rt president has made it clear that iran destabilizing behavior will not be tolerated hopeful ira,01/10/2020 13:15,0
2641,rt speaker pelosi is wasting the american people time deserves his day in court the senate is ready,01/10/2020 13:15,1
2642,rt to the house dems and gopers who voted for this resolution you have done nothing to legally restrict president trump,01/10/2020 13:11,1
2643,rt the war powers resolution is an infringement on the president constitutional powers as commander in chief,01/10/2020 13:11,1
2644,great interview this morning by with some of the fantastic people who attended the big rally last night in toledo ohio thank you such amazing energy,01/10/2020 13:04,1
2645,wow thank you greg hope live up to your expectations,01/10/2020 12:55,1
2646,democrats are now the party of high taxes high crime open borders late term abortion socialism and blatant corruption the republican party is the party of the american worker the american family and the american dream kag,01/10/2020 2:15,1
2647,after years of rebuilding other nations we are finally rebuilding our nation we are finally putting america first kag,01/10/2020 2:07,1
2648,under my administration we will never make excuses for america enemies we will never hesitate in defending american lives and we will never stop working to defeat radical islamic terrorism,01/10/2020 2:04,0
2649,thank you toledo ohio,01/10/2020 1:57,1
2650,heading to toledo ohio for first rally of the year tremendous crowd here we go for big win,01/09/2020 22:55,1
2651,approval rating in the republican party thank you,01/09/2020 22:49,1
2652,smart analysis fully agree,01/09/2020 22:34,1
2653,rt all citizens including black americans should be supporting president because he,01/09/2020 22:13,1
2654,rt the choice is clear this november continue with prosperity with president trump robust and successfu,01/09/2020 22:12,1
2655,rt lord thankful each day trump gives us faithtrump gives us virtuetrump gives us dignitytrump give,01/09/2020 22:12,1
2656,thank you,01/09/2020 22:10,1
2657,happy national law enforcement appreciation day lesm,01/09/2020 17:59,1
2658,stock market at all time high how are your doing up only up what are you doing wrong,01/09/2020 15:47,1
2659,cancer death rate lowest in recorded history lot of good news coming out of this administration,01/09/2020 15:00,0
2660,stock market at all time high how are your doing up only up what are you doing wrong,01/09/2020 14:54,1
2661,breaking news the fifth circuit court of appeals just reversed lower court decision gave us the go ahead to build one of the largest sections of the desperately needed southern border wall four billion dollars entire wall is under construction or getting ready to start,01/09/2020 13:46,0
2662,hope that all house republicans will vote against crazy nancy pelosi war powers resolution also remember her speed rush in getting the impeachment hoax voted on done well she never sent the articles to the senate just another democrat fraud presidential harassment,01/09/2020 13:20,1
2663,presidential harassment,01/09/2020 12:30,1
2664,rt dems obsessed impeachment but will not send articles to the senate why it bc they do not want trial that will expos,01/09/2020 12:26,0
2665,thank you elise,01/09/2020 12:24,1
2666,pelosi doesn want to hand over the articles of impeachment which were fraudulently produced by corrupt politicians like shifty schiff in the first place because after all of these years of investigations and persecution they show no crimes and are joke and scam,01/09/2020 12:21,0
2667,rt there will be no haggling with the house over senate procedure we will not cede our authority to try this impeachment,01/09/2020 12:04,0
2668,rt natl security officials gave compelling briefing to senators just now they answered every important question anyone,01/09/2020 12:01,1
2669,rt former obama officials their media protectors can howl all they want it fact that as part of irandeal they delive,01/09/2020 12:01,1
2670,great,01/09/2020 11:58,1
2671,rt as long as am president of the united states iran will never be allowed to have nuclear weapon,01/09/2020 11:55,0
2672,rt new forget the pathetic two faced liberal bleating president was absolutely right to take out soleim,01/09/2020 11:54,1
2673,rt watch on the blue collar boom and rising wages under,01/09/2020 11:54,1
2674,rt instead of attacking with iranian talking points about needless provocations pelosi should be suppor,01/09/2020 11:53,1
2675,rt joined president in the situation room last night upon reports the islamic republic of iran had launched,01/09/2020 11:52,0
2676,rt vice president the american people can rest easier tonight because of the leadership of and th,01/09/2020 11:51,1
2677,winred,01/09/2020 11:49,1
2678,see you later,01/09/2020 11:47,1
2679,rt live president addresses the nation,01/08/2020 16:43,1
2680,all is well missiles launched from iran at two military bases located in iraq assessment of casualties damages taking place now so far so good we have the most powerful and well equipped military anywhere in the world by far will be making statement tomorrow morning,01/08/2020 2:45,1
2681,had very good meeting with of saudi arabia we discussed trade military oil prices security and stability in the middle east,01/07/2020 19:05,1
2682,great interview with kevin mccarthy on there was no urgency with the articles of impeachment because there was no case,01/07/2020 13:27,0
2683,rt think the vast majority agree killing americans is well beyond justification to say enough is enough and yet,01/07/2020 12:12,1
2684,rt joined me to talk about the latest on iran take look,01/07/2020 12:11,1
2685,rt we killed the most powerful man in tehran short of the ayatollah this was not an act of revenge for what he had do,01/07/2020 12:02,0
2686,rt president took decisive preemptive action to foil plot directed at american personnel as to what,01/07/2020 12:02,1
2687,rt when it comes to the death of general soleimani there is no one to blame but himself he effectively signed his own,01/07/2020 12:01,0
2688,rt president national security team pence and national security advisor,01/07/2020 12:00,1
2689,rt ll be interested to see if the hatred of president trump prevents democrats from recognizi,01/07/2020 12:00,1
2690,rt very much support senator resolution in support of president decision to take out iran,01/07/2020 12:00,0
2691,rt will oppose any war powers resolution pushed by so as to allow this president to have the latitude he,01/07/2020 11:59,0
2692,rt dismembering syria and yemen killing their own citizens who are demanding freedom president trump is right to,01/07/2020 11:59,1
2693,rt to my democratic colleagues years of iranian aggression needs to be dealt with forcefully iran is the lar,01/07/2020 11:59,0
2694,rt when it comes to political stunts regarding the articles of impeachment enough already speak,01/07/2020 11:59,1
2695,rt now she is sitting on the articles and trying to run the senate denying president trump his day in court presiden,01/07/2020 11:59,0
2696,rt intent with regards to iran is clearfuture military action depends entirely on what iran decides to do first,01/07/2020 11:55,0
2697,rt worth repeating the testimony evidence considered in senate impeachment trial should be the same testimony evidenc,01/07/2020 11:55,1
2698,we love australia,01/07/2020 11:44,1
2699,rt the white house can assert executive privilege it not bolton privilege it the president if executive privilege co,01/07/2020 2:54,1
2700,rt every word pompeo said is true,01/07/2020 2:51,1
2701,rt this is attempted deterrence it doesn always work but iran against the backdrop of prior restraint followed by decisiv,01/07/2020 2:51,0
2702,rt besides soleimani already carried out an attack that killed an american citizen trump needed no other justification,01/07/2020 2:50,0
2703,rt very informative piece it is impossible to overstate the importance of this particular action it is more significant th,01/07/2020 2:48,1
2704,rt president inherited mess from the obama and biden years but he is cleaning it up very quickly https,01/07/2020 2:09,1
2705,rt how terrible was the obama biden iran policy in their secretary of state john kerry admitted that some iranian,01/07/2020 2:06,0
2706,rt stopthecoup,01/07/2020 1:50,1
2707,rt coup update,01/07/2020 1:50,1
2708,rt web of corruption says new documents expose the corrupt obama state department involvement in sp,01/07/2020 1:50,1
2709,rt,01/07/2020 0:41,1
2710,amazing analysis reporting,01/07/2020 0:40,1
2711,rt said it best not going to be lectured by people who voted to fork over billion in cash to ir,01/07/2020 0:39,0
2712,rt qassem soleimani year span of terror is finally over america and the world are safer because took,01/07/2020 0:12,1
2713,rt san francisco left wing government has turned the city into an american dystopia our shocking exclusive part,01/07/2020 0:12,0
2714,if however the city or state in question is willing to acknowledge responsibility and politely asks for help from the federal government we will very seriously consider getting involved in order to make those poorly run democrat cities great again,01/06/2020 23:50,0
2715,the homeless situation in los angeles san francisco and many other democrat party run cities throughout the nation is state and local problem not federal problem,01/06/2020 23:50,0
2718,iran will never have nuclear weapon,01/06/2020 14:48,0
2719,congress the president should not be wasting their time and energy on continuation of the totally partisan impeachment hoax when we have so many important matters pending to zero was the republican house vote we got dems this was not what the founders had in mind,01/06/2020 14:39,0
2720,the impeachment hoax just continuation of the witch hunt which started even before won the election must end quickly read the transcripts see the ukrainian president strong statement no pressure get this done it is con game by the dems to help with the election,01/06/2020 14:32,1
2721,the reason they are not sending the articles of impeachment to the senate is that they are so weak and so pathetic the great scam continues to be spending time on this political hoax at this moment in our history when am so busy is sad,01/06/2020 13:37,0
2722,these media posts will serve as notification to the united states congress that should iran strike any person or target the united states will quickly fully strike back perhaps in disproportionate manner such legal notice is not required but is given nevertheless,01/05/2020 20:25,1
2723,the united states just spent two trillion dollars on military equipment we are the biggest and by far the best in the world if iran attacks an american base or any american we will be sending some of that brand new beautiful equipment their way and without hesitation,01/05/2020 5:11,1
2724,they attacked us we hit back if they attack again which would strongly advise them not to do we will hit them harder than they have ever been hit before,01/05/2020 4:53,0
2725,targeted iranian sites representing the american hostages taken by iran many years ago some at very high level important to iran the iranian culture and those targets and iran itself will be hit very fast and very hard the usa wants no more threats,01/04/2020 22:52,0
2726,hundreds of iranian protesters he was already attacking our embassy and preparing for additional hits in other locations iran has been nothing but problems for many years let this serve as warning that if iran strikes any americans or american assets we have,01/04/2020 22:52,0
2727,iran is talking very boldly about targeting certain usa assets as revenge for our ridding the world of their terrorist leader who had just killed an american badly wounded many others not to mention all of the people he had killed over his lifetime including recently,01/04/2020 22:52,0
2728,as hard as work as successful as our country has become with our economy our military everything else it is ashame that the democrats make us spend so much time money on this ridiculous impeachment lite hoax should be able to devote all of my time to the real usa,01/04/2020 22:16,0
2729,approval rating in the republican party thank you,01/04/2020 14:57,1
2730,rt,01/04/2020 4:30,1
2732,rt statement from president,01/03/2020 20:59,1
2733,followed and then it was withdrawn the democrats argument for impeachment has not gotten stronger over the last few weeks as senator josh hawley just said he going to enter motion to dismiss the impeachment trial because it never actually been brought to trial,01/03/2020 17:27,0
2734,different places that he thought were wasteful and the career staff as they always do pushed back and made million excuses as to why they could not possibly stop spending taxpayer money there was back forth over the legal arguments the decision was,01/03/2020 17:27,0
2735,christopher bedford the federalist senior editor there is nothing new in these emails at all that been discovered it exactly what we knew before which is that the white house political figures wanted to cut off aid trump wanted to question aid to number of,01/03/2020 17:27,0
2736,followed and then it was withdrawn the democrats argument for impeachment has not gotten stronger over the last few weeks as senator josh hawley just said he going to enter motion to dismiss the impeachment trial because it never actually been brought to trial,01/03/2020 17:09,0
2737,different places that he thought were wasteful and the career staff as they always do pushed back and nade million excuses as to why they could not possibly stop spending taxpayer money there was back forth over the legal arguments the decision was,01/03/2020 17:09,0
2738,christopher bedford the federalist senior editor there is nothing new in these emails at all that been discovered it exactly what we knew before which is that the white house political figures wanted to cut off aid trump wanted to question aid to number of,01/03/2020 17:09,0
2739,rt joe foot in mouth biden biden,01/03/2020 16:53,1
2740,rt soleimani killed american servicemembers soleimani maimed thousands more with ieds soleimani approved the attack,01/03/2020 16:43,1
2741,rt if you ve been to va hospital in recent years and seen young man missing limbs there reasonable chance qasem sol,01/03/2020 16:03,0
2742,rt trump middle east policy seems sound,01/03/2020 16:02,1
2743,rt bravo to for his clarity on no apologies no regrets astonishing that some in the american poli,01/03/2020 16:02,0
2744,rt did you know soleimani planned the attacks in libya because he knew about the gun running to syrian rebels that,01/03/2020 16:02,1
2745,rt reporter but was soldier for several years and led platoon of cavalry troops into combat in iraq qassim solemani,01/03/2020 16:01,1
2746,rt soleimani was murderer with the blood of americans on his hands and plotting more attacks thank god for our military,01/03/2020 16:01,1
2747,rt must watch congressman lists every single high crime and misdemeanor committed by president trump unbelievable http,01/03/2020 15:52,1
2748,rt at the direction of the president the military has taken decisive defensive action to protect personnel abroad,01/03/2020 15:40,1
2749,rt what really amazing is that we had been told to accept for so long that the head of irgc quds was able to direct operatio,01/03/2020 15:37,1
2750,rt forget person of the year washington needs an adult of the year my pick for below via,01/03/2020 15:36,0
2751,rt iraqis iraqis dancing in the street for freedom thankful that general soleimani is no more,01/03/2020 15:35,1
2752,rt neither were the iranians and for pretty much the same reason,01/03/2020 15:34,1
2753,this is great book must read,01/03/2020 15:25,1
2754,and more control over iraq and the people of iraq are not happy with that it will never end well,01/03/2020 15:09,0
2755,the united states has paid iraq billions of dollars year for many years that is on top of all else we have done for them the people of iraq don want to be dominated controlled by iran but ultimately that is their choice over the last years iran has gained more,01/03/2020 15:09,0
2756,of protesters killed in iran itself while iran will never be able to properly admit it soleimani was both hated and feared within the country they are not nearly as saddened as the leaders will let the outside world believe he should have been taken out many years ago,01/03/2020 13:54,0
2757,general qassem soleimani has killed or badly wounded thousands of americans over an extended period of time and was plotting to kill many more but got caught he was directly and indirectly responsible for the death of millions of people including the recent large number,01/03/2020 13:54,0
2758,iran never won war but never lost negotiation,01/03/2020 12:44,0
2759,rt this year hundreds of protesters were killed in iraq after qassemsoleimani urged pro iran gov to use maximum force in,01/03/2020 12:21,0
2760,rt tonight there are hundreds of american families watching news of suleimani killing particularly closely he engineered,01/03/2020 12:15,1
2761,rt iraq due to heightened tensions in iraq and the region we urge citizens to depart iraq immediately due to iranian,01/03/2020 12:02,0
2762,rt security alert embassy baghdad iraq,01/03/2020 12:01,1
2764,had happened to presidential candidate or president who was democrat everybody involved would long ago be in jail for treason and more and it would be considered the crime of the century far bigger and more sinister than watergate,01/02/2020 13:58,1
2765,lot of very good people were taken down by small group of dirty filthy cops politicians government officials and an investigation that was illegally started that spied on my campaign the witch hunt is sputtering badly but still going on ukraine hoax if this,01/02/2020 13:58,0
2766,it alienating independents this president is being persecuted over three years with one investigation after another and that really plays to his base their partisan witch hunt is hurting our country do badly only bringing more division than ever,01/02/2020 13:42,0
2767,sohrab ahmari new york post the trump campaign raised million in the two days following the impeachment scam vote it seems the democrats have shot themselves in the foot in one more way they set up process they know is not going to lead to the presidents removal,01/02/2020 13:42,1
2768,rt,01/02/2020 4:27,1
2769,rt trump list shows results and promises kept in three years maga kag hny,01/02/2020 4:27,1
2770,rt,01/02/2020 4:26,1
2771,rt wages are advancing at about percent annual pace after falling to percent during the final years of the obama,01/02/2020 2:48,1
2772,rt with behind us we look back on the fantastic accomplishments of president for americans so far,01/02/2020 2:47,1
2773,rt in speaker pelosi called president historic tax cuts armageddon in american businesses and worker,01/02/2020 2:47,1
2774,they don know how to do that,01/02/2020 2:46,0
2775,rt asian americans are winning under this summer unemployment among asian americans fell to the,01/02/2020 2:45,0
2776,rt thank you we will deliver nh for you in and you will never get tired of winning,01/02/2020 2:45,1
2777,great job,01/02/2020 1:53,1
2778,can believe keeps the management after yet another ratings dive nobody watching no credibility maybe they should make changes at at,01/02/2020 1:46,1
2779,too bad corey would have won he and loves new hampshire,01/02/2020 1:36,0
2780,best equipment finest military in the world on site quickly,01/02/2020 1:32,1
2781,rt president trump speaks to the press with first lady melania prior to entering this evenings new year celebration he is ho,01/01/2020 20:36,1
2782,rt,01/01/2020 20:36,1
2784,happy new year,01/01/2020 1:30,1
2785,our fantastic first lady,01/01/2020 1:22,1
2786,rt,01/01/2020 1:18,1
2787,rt think speaker pelosi is having nd thoughts about impeaching the president the senate should get back to work on usm,01/01/2020 1:17,1
2788,thank you steve the greatest witch hunt in history,01/01/2020 1:16,1
2789,rt sen ron johnson says charges against pres trump are pretty thin gruel and speaker nancy pelosi decision to withhold,01/01/2020 1:08,1
2790,rt the senate needs to reauthorize the violence against women act and am proud to cosponsor bill that,01/01/2020 1:07,1
2791,rt to our iraqi allies this is your moment to convince the american people the us iraq relationship is meaningful to yo,01/01/2020 1:06,1
2792,rt president trump unlike president obama will hold you accountable for threats against americans and hit you where it,01/01/2020 1:06,1
2793,rt very proud of president acting decisively in the face of threats to our embassy in baghdad he has,01/01/2020 1:05,1
2794,rt he has put the world on notice there will be no benghazis on his watch praises for,01/01/2020 1:05,1
2795,rt just had very good meeting with president and his team regarding the situation in iraq president,01/01/2020 1:03,1
2796,thank you to the washington examiner the list is growing every day,01/01/2020 1:03,1
2797,one of my greatest honors was to have gotten choice approved for our great veterans others have tried for decades and failed,01/01/2020 0:55,0
2798,rt magnificent trump keeping his promises breaking president trump announces he will sign phase one in china,01/01/2020 0:17,1
2799,rt lindsey graham trump has world on notice there will be no benghazis on his watch,01/01/2020 0:15,1
2800,rt congratulations sleepy joe you just won stupid person of award joe biden we re all dead if we don stop,01/01/2020 0:14,1
2801,rt dear stupid people peace is good thingputin calls trump to thank him for helping russia thwart terrorist attack,01/01/2020 0:14,1
2802,rt we have taken appropriate force protection actions to ensure safety of americans ah apaches protect us embassy,01/01/2020 0:13,1
2803,rt my christmas and new years message to you and your family no more fakenews in,01/01/2020 0:09,1
2804,rt americans saw plenty of washington at its worst this year but despite getting no help from the far left america today is,12-31-2019 23:35:58,0
2805,how is the paris accord doing don ask,12-31-2019 23:25:01,1
2806,wonderful account of embassy iraq vs the benghazi disaster,12-31-2019 23:19:49,1
2807,get this straightened out governor,12-31-2019 23:19:43,1
2808,rt breaking us marines arriving to baghdad embassy,12-31-2019 23:17:13,1
2809,how is the paris accord doing don ask,12-31-2019 23:13:43,1
2810,wonderful account of embassy iraq vs the bengahzi disaster,12-31-2019 23:09:13,1
2811,rt looking bigger picture the first three years of the trump presidency have established the policy framework and upward mo,12-31-2019 22:54:04,1
2812,rt latinos flourishing under policies record low unemployment new jobs for latinos median latino,12-31-2019 22:27:34,0
2813,rt is strengthening our trade deals replaced outdated nafta usmca will add to economy create,12-31-2019 22:27:06,1
2814,rt democrat rep al green says impeachment began when was running for president that should end any que,12-31-2019 22:26:47,1
2815,rt president historic justice reforms are helping former prisoners reenter society and live with dignity an,12-31-2019 22:25:44,1
2816,rt farmers benefit from policies year round sale of cut red tape incl ending wotus cut taxes for fa,12-31-2019 22:25:24,0
2817,rt thanks to president leadership we are living in stronger and more secure america with the best econom,12-31-2019 22:24:56,1
2818,am far better on healthcare than the democrats,12-31-2019 22:24:36,1
2819,the fake news said played golf today and did not had meeting in various locations while closely monitoring the embassy situation in iraq which am still doing the corrupt lamestream media knew this but not surprisingly failed to report or correct,12-31-2019 22:11:14,0
2820,the anti benghazi,12-31-2019 21:38:59,1
2821,just for little change of pace,12-31-2019 21:34:14,1
2822,the anti bengahzi,12-31-2019 21:29:32,1
2823,iran will be held fully responsible for lives lost or damage incurred at any of our facilities they will pay very big price this is not warning it is threat happy new year,12-31-2019 21:19:07,0
2824,the embassy in iraq is has been for hours safe many of our great warfighters together with the most lethal military equipment in the world was immediately rushed to the site thank you to the president prime minister of iraq for their rapid response upon request,12-31-2019 21:19:04,1
2825,this guy peter strzok was organizing coup to undo the election rachel campos duffy and he wasn the only one in that administration the greatest witch hunt in american history,12-31-2019 20:15:52,1
2826,on votes which is procedural you don need two thirds brad blakeman great lawyer person thank you brad,12-31-2019 19:41:42,1
2827,it my opinion as lawyer that the articles of impeachment are defective on their face which means would like to see motion to dismiss and have this disbursed without the necessity of trial don think there should be trial think it should be dismissed,12-31-2019 19:41:39,1
2828,remember when pelosi was screaming that president trump is danger to our nation and we must move quickly they didn get one republican house vote and lost dems they produced no case so now she doesn want to go to the senate she all lies most overrated person know,12-31-2019 17:42:51,0
2829,read the transcripts,12-31-2019 17:34:45,1
2830,very good meeting on the middle east the military and trade heading back to the southern white house mar lago updates throughout the day,12-31-2019 16:51:51,1
2831,to those many millions of people in iraq who want freedom and who don want to be dominated and controlled by iran this is your time,12-31-2019 15:44:53,0
2832,will be signing our very large and comprehensive phase one trade deal with china on january the ceremony will take place at the white house high level representatives of china will be present at later date will be going to beijing where talks will begin on phase two,12-31-2019 14:16:40,1
2833,president putin of russia called to thank me and the for informing them of planned terrorist attack in the very beautiful city of saint petersburg they were able to quickly apprehend the suspects with many lives being saved great important coordination,12-31-2019 14:06:09,1
2834,armed congregants quickly stopped crazed church shooter in texas if it were not for the fact that there were people inside of the church that were both armed and highly proficient in using their weapon the end result would have been catastrophic big thank you to them,12-31-2019 13:53:10,1
2835,iran killed an american contractor wounding many we strongly responded and always will now iran is orchestrating an attack on the embassy in iraq they will be held fully responsible in addition we expect iraq to use its forces to protect the embassy and so notified,12-31-2019 12:02:47,0
2836,the democrats will do anything to avoid trial in the senate in order to protect sleepy joe biden and expose the millions and millions of dollars that where hunter possibly joe were paid by companies and countries for doing nothing joe wants no part of this mess,12-31-2019 11:16:26,0
2837,our prayers are with the families of the victims and the congregation of yesterday church attack it was over in seconds thanks to the brave parishioners who acted to protect fellow worshippers lives were saved by these heroes and texas laws allowing them to carry arms,12-31-2019 00:57:13,0
2838,rt,12-31-2019 00:00:34,1
2839,rt this christmas let the impeach maniacs in your life know we re lauging at them not with them,12-30-2019 22:23:36,1
2840,he is fake news will always be fredo to us should release some of his dishonest interviews coupled with bad ratings he be out,12-30-2019 22:23:04,0
2841,thank you to highly respected jewish leader dov hikind for his wonderful statements about me this morning on,12-30-2019 14:28:26,1
2842,the anti semitic attack in monsey new york on the th night of hanukkah last night is horrific we must all come together to fight confront and eradicate the evil scourge of anti semitism melania and wish the victims quick and full recovery,12-29-2019 19:10:41,0
2843,crazy nancy pelosi should spend more time in her decaying city and less time on the impeachment hoax,12-29-2019 14:55:19,1
2844,any answers nancy,12-29-2019 12:57:36,1
2845,rt california and new york must do something about their tremendous homeless problems they are setting records if their,12-29-2019 00:03:51,0
2846,tremendous spirit,12-29-2019 00:00:43,1
2847,rt trumppence kag,12-28-2019 23:59:16,1
2848,thank you joe so good for our workers,12-28-2019 23:58:44,1
2849,rt mother of six killed by illegal alien previously deported six times in sanctuary city of denver then he flees the sc,12-28-2019 22:32:07,0
2850,rt rush limbaugh the media is flooding the news negativity abt trump in order to make us have doubts and be publicity af,12-28-2019 22:31:06,1
2851,thank you juliet,12-28-2019 22:29:48,1
2852,rt ignore the so called experts they keep getting it wrong trump economy kag,12-28-2019 22:25:45,0
2853,dirty cop at the highest level scum,12-28-2019 22:15:56,1
2854,thank you adriana,12-28-2019 22:13:39,1
2855,so sad to see that new york city and state are falling apart all they want to do is investigate to make me hate them even more than should governor cuomo has lost control and lost his mind very bad for the homeless and all,12-28-2019 21:14:37,0
2856,want to thank rush limbaugh for the tremendous support he has given to the make america great again movement and our keep america great agenda he is major star who never wavered despite the fake news hits he has had to endure his voice is far bigger than theirs,12-28-2019 21:06:57,1
2857,crazy nancy pelosi should spend more time in her her decaying city and less time on the impeachment hoax,12-28-2019 20:41:54,1
2858,california and new york must do something about their tremendous homeless problems they are setting records if their governors can handle the situation which they should be able to do very easily they must call and politely ask for help would be so easy with competence,12-28-2019 13:33:58,1
2859,rt wow crazy nancy what going on this is big stuff,12-28-2019 04:57:49,1
2860,rt rep ratcliffe suggested monday that the whistleblower eric ciaramella committed perjury by making false statements in,12-28-2019 04:48:48,1
2861,rt good night americapatriotsbadazzfollowersmaga runaway fightfor godjusticepresidenttrump never support fake,12-28-2019 04:47:07,1
2862,rt night sweet anna america needs those close to himthat he can trust with deep statewantin,12-28-2019 04:45:30,1
2863,the wall is funded being built,12-28-2019 04:44:12,1
2864,now that wasn very nice was it,12-28-2019 04:41:10,1
2865,rt time for plus get so lost trying to follow these it like maze and have no sense of direction do not forget,12-28-2019 04:36:44,0
2866,rt the accounts chamber in ukraine found an alleged misuse of in funds during the obama administration while bide,12-28-2019 04:33:15,1
2867,rt jordansviewexpress the best is yet to come feeling it hitch ride on this train featuring jon voight fra,12-28-2019 04:31:30,1
2868,nancy this just doesn seem right,12-28-2019 04:28:34,0
2869,rt hey pelosi world leaders are asking how they can mimic what trump done with the economy,12-28-2019 04:22:57,1
2870,our great first lady she really cares,12-28-2019 04:13:42,1
2871,congresswoman lesko great american,12-28-2019 04:07:22,1
2872,rt hey pelosi americans president trump,12-28-2019 04:05:37,1
2873,rt any reasons to vote democratic,12-28-2019 04:04:11,1
2874,rt are you fired up yet,12-28-2019 04:03:26,1
2875,rt home depot co founder slams dem candidates for claiming millionaires did not work for their,12-28-2019 04:01:59,0
2876,rt ag bill barr nypd are not only ny finest they re the countries finest,12-28-2019 04:00:35,1
2877,rt yes but we have rogue,12-28-2019 03:55:40,1
2878,rt isn message violation of the hous,12-28-2019 03:55:28,1
2879,true democrat party leader,12-28-2019 03:54:19,1
2880,rt just in case you forgot have here admitting to crime correction bragging about the crime rea,12-28-2019 03:41:36,1
2881,rt,12-28-2019 03:36:59,1
2882,rt we already have the best so why look around if you agree join us patriots unite rt without commenting reply,12-28-2019 03:05:04,1
2883,rt,12-28-2019 02:59:01,1
2884,what kind of an animal is this,12-28-2019 02:57:32,1
2885,hillary should give it another try but this time don forget wisconsin pennsylvania michigan north carolina others,12-28-2019 02:56:10,1
2886,rt winning kag why the long faces you got it right this time good news for america,12-28-2019 02:51:08,1
2887,rt two possibilities in trump wiretapping and neither is goodby frank watt the report of the findings on the use of fis,12-28-2019 02:50:17,1
2888,thank you,12-28-2019 02:45:35,1
2889,rt don know of anyone that afraid of me but michael moore wants you to be because voted for trump michael moore,12-28-2019 02:44:25,1
2890,come on crazy nancy do it,12-28-2019 02:43:24,1
2891,he made same prediction in nobody ever said michael was stupid,12-28-2019 02:41:47,0
2892,rt chuck if you are so confident president trump did something wrong then why won release,12-28-2019 02:37:23,1
2893,rt president is leading democrats for the presidential election according to,12-28-2019 02:35:47,1
2894,rt blame trump,12-28-2019 02:35:14,1
2895,rt why did the fbi hide hillary lies and bleach bit emails and blackberry devices what were they hiding keeping among the,12-28-2019 02:35:04,0
2896,wow crazy nancy what going on this is big stuff,12-28-2019 02:31:47,1
2897,is doing incredible reporting if lamestream media did the same they would get respect back at all time low,12-28-2019 02:28:02,1
2898,rt hey siri who the president of the united states siri,12-28-2019 02:21:40,1
2899,rt we need more more jobs denzelwashington president trump looks out in the economy he does not see ethnicity sheriffc,12-28-2019 02:19:31,0
2900,rt the facts are clear nancy you led an impeachment without crime based on nd rd and th hand accounts,12-28-2019 02:17:23,1
2901,rt one good reason to oppose impeachment of it was strictly partisan political act that attempts to,12-28-2019 01:58:52,1
2902,rt babies for keepamericagreat,12-28-2019 01:55:10,1
2903,thanks kayleigh,12-28-2019 01:52:24,1
2904,dow closes at another all time high,12-27-2019 21:51:41,1
2905,so interesting to see nancy pelosi demanding fairness from mcconnell when she presided over the most unfair hearing in the history of the united states congress,12-27-2019 20:43:32,0
2906,and native culture spokane tribe native languages and ndaa sec officially recognizing little shell tribe of chippewa indians my great honor to do so,12-27-2019 16:37:20,1
2907,thank you indian country for being such an important part of the american story recently signed bills to support tribal sovereignty,12-27-2019 16:37:20,1
2908,trump stock market rally is far outpacing past presidents with new trade deals and more the best is yet to come,12-27-2019 14:42:30,1
2909,speaker pelosi and chuck schumer drive to try and rig the trial against the president is misplaced there is no factual basis for the articles of impeachment that passed the house this president will be exonerated william mcginley,12-27-2019 14:28:33,0
2910,thank you kristy have great year,12-27-2019 14:16:44,1
2911,academy award winning actor and great guy is fantastic in the role of mickey donovan in the big television hit ray donovan from midnight cowboy to deliverance to the champ one of the best ever boxing movies many others jon delivers big also loves the usa,12-27-2019 13:48:31,1
2912,rt don you agreepray for this president foxandfriends morningjoe mondaymotivation mondaythoughts tcot kag trump,12-27-2019 13:23:28,1
2913,rt this is your daily reminder that barack obama asked ukraine to investigate his political rival campaign manager,12-27-2019 13:07:42,1
2914,democrats repeatedly claimed impeachment was an urgent matter but now nancy pelosi uses stall tactics to obstruct the senate it all part of the impeachment hoax,12-27-2019 04:27:44,0
2915,pelosi stall tactics expose the weakness of democrat impeachment case,12-27-2019 04:20:25,1
2916,rt merry christmas friends thank you president for making this christmas amazing isupport trump,12-27-2019 03:22:44,1
2917,rt in god we trust,12-27-2019 00:19:20,1
2918,thank you ritchie,12-27-2019 00:17:42,1
2919,rt we believe our country should be sanctuary for law abiding americans not for criminal aliens the open borders agen,12-27-2019 00:15:49,1
2920,rt americans retirement savings are winning big under president trump the nasdaq just hit for the first time in his,12-27-2019 00:15:36,1
2921,rt watch says president trump has done so much for our country his father billy graham would be very,12-27-2019 00:15:17,0
2922,rt there going to be whole lot more people who vote for trump in because he delivered says,12-27-2019 00:14:34,1
2923,rt on christmas eve president trump called members of the military who are stationed across the world he called mari,12-27-2019 00:14:27,1
2924,rt president to launch evangelicals for trump coalition on friday january rd in miami fl keepameric,12-27-2019 00:14:04,1
2925,rt the has returned more than since trump was elected more than double the average market return of pres,12-27-2019 00:13:50,1
2926,rt do not want any officers trump held private meetings with enlisted troops to candidly discuss the war in afghanistan htt,12-27-2019 00:13:26,0
2927,rt president trump is keeping his promise to fight for american families promisesmadepromiseskept,12-27-2019 00:12:33,1
2928,rt president economy is booming americans are benefiting from higher wages and great job opportunities,12-27-2019 00:11:41,1
2929,rt it pretty simple the cia whistleblower is not real whistleblower,12-27-2019 00:09:56,1
2930,rt censorship fox friends calls out canadian broadcaster for removing trump from home alone,12-27-2019 00:07:46,0
2931,the movie will never be the same just kidding,12-27-2019 00:07:15,0
