,negativo,positivo,Total
independence,4,24,28
independenceday,0,1,1
independent,14,14,28
independents,6,8,14
index,2,11,13
indexes,1,0,1
india,5,43,48
indian,4,3,7
indiana,9,65,74
indianajones,1,0,1
indianapolis,0,10,10
indians,0,1,1
indicate,2,2,4
indicated,0,2,2
indicates,0,2,2
indicating,1,2,3
indication,4,1,5
indicato,1,1,2
indicators,0,2,2
indices,0,1,1
indicted,7,0,7
indictedand,1,0,1
indictment,3,2,5
indictments,0,1,1
indicts,1,0,1
indie,1,1,2
indies,1,0,1
indignant,3,0,3
indignation,1,0,1
indirectly,1,2,3
indiscriminately,1,0,1
indispensable,0,1,1
indisputable,2,0,2
indited,0,1,1
indiv,0,1,1
individual,13,12,25
individualism,0,1,1
individually,1,0,1
individuals,9,16,25
indivisible,0,1,1
indo,0,2,2
indoctrinated,1,0,1
indoctrination,2,0,2
indonesia,2,2,4
indoo,0,1,1
indoors,2,1,3
indprimary,0,1,1
induced,0,1,1
inducted,0,1,1
inductee,0,1,1
indulgent,0,1,1
industrial,4,4,8
industries,3,12,15
industry,6,42,48
indv,1,0,1
inebriated,1,1,2
ineffective,16,8,24
ineffectual,0,1,1
ineligible,1,1,2
inept,3,4,7
ineptitude,1,2,3
inevitable,1,3,4
inexcusable,1,1,2
inexpensive,1,4,5
inexperienced,1,0,1
inexplicable,1,0,1
inexplicably,1,0,1
inf,0,1,1
infai,0,1,1
infamous,0,1,1
infamy,0,3,3
infant,0,2,2
infantino,0,1,1
infe,1,0,1
infected,5,0,5
infections,0,1,1
infectious,2,2,4
infects,0,1,1
inference,2,0,2
inferio,1,0,1
inferiority,0,1,1
infest,1,0,1
infestation,0,2,2
infested,3,3,6
infighting,2,2,4
infiltrate,0,2,2
infiltrated,1,2,3
infiltrating,1,1,2
infiltration,0,1,1
infinite,0,1,1
infinitely,1,1,2
inflame,1,1,2
inflammatory,1,1,2
inflated,1,0,1
inflation,19,20,39
inflationary,0,1,1
inflict,1,0,1
inflicted,3,1,4
inflicting,1,1,2
inflow,3,2,5
influence,11,13,24
influenced,1,2,3
influencers,1,1,2
influential,0,3,3
influx,0,2,2
info,27,27,54
infographic,0,1,1
inform,9,19,28
informa,1,0,1
informant,5,7,12
informants,1,2,3
information,65,91,156
informationis,1,0,1
informative,0,4,4
informe,6,0,6
informed,21,26,47
informing,0,3,3
infrastructur,0,1,1
infrastructure,26,37,63
infrastructureinamerica,0,1,1
infrastructureweek,0,1,1
infringed,0,1,1
infringement,1,0,1
infringes,0,1,1
infused,0,1,1
infusion,0,1,1
ing,2,0,2
ingenuity,0,2,2
ingesting,0,1,1
ingloriously,1,0,1
ingraham,1,6,7
ingrahamangle,0,3,3
ingrained,0,1,1
ingrates,0,1,1
ingredients,1,0,1
inherently,2,0,2
inherit,0,2,2
inherited,3,5,8
inherito,0,1,1
inhofe,0,3,3
inhumane,1,0,1
inimitable,0,2,2
inions,1,0,1
initial,3,2,5
initially,1,0,1
initiated,2,3,5
initiates,1,0,1
initiating,1,1,2
initiative,2,9,11
inject,1,0,1
injunction,0,1,1
injunctions,1,0,1
injured,16,3,19
injuries,0,1,1
injury,3,0,3
injustice,3,3,6
ink,3,0,3
inland,1,2,3
inlet,0,3,3
inmate,1,0,1
inmates,1,2,3
inn,0,1,1
inne,7,8,15
innings,0,2,2
innoc,1,0,1
innocence,2,1,3
innocent,26,25,51
innocents,0,2,2
innovate,1,0,1
innovation,0,8,8
innovative,0,10,10
innovativeness,0,1,1
innovators,1,3,4
innuendo,1,1,2
inocent,1,0,1
inpeachment,1,0,1
inprimary,0,10,10
input,0,1,1
inqu,0,2,2
inquiries,0,1,1
inquiry,16,23,39
inquisition,0,3,3
ins,2,3,5
insane,6,14,20
insanity,1,3,4
insatiable,1,0,1
insecure,2,2,4
insensitive,1,0,1
inserted,0,1,1
inside,19,31,50
insiders,0,3,3
insight,2,7,9
insightful,0,6,6
insignificant,0,1,1
insinuated,1,1,2
insipid,0,1,1
insist,1,0,1
insisted,5,3,8
insisting,0,2,2
insists,1,2,3
insomnia,1,0,1
inspect,0,1,1
inspected,1,1,2
inspecting,0,2,2
inspections,1,0,1
inspecto,14,10,24
inspiration,1,15,16
inspirational,1,3,4
inspire,1,11,12
inspired,4,18,22
inspires,0,2,2
inspiring,1,13,14
instagram,1,6,7
install,0,2,2
installations,0,1,1
installed,1,1,2
installs,2,0,2
instanc,0,1,1
instance,2,1,3
instances,3,2,5
instant,0,1,1
instantly,0,4,4
instead,48,35,83
insticts,1,0,1
instigated,1,0,1
instilling,0,1,1
instinct,0,1,1
instincts,6,3,9
institut,0,1,1
institute,2,6,8
instituted,1,1,2
institutes,0,1,1
institution,1,1,2
institutional,1,0,1
institutions,2,2,4
institutionsand,0,1,1
instruct,0,1,1
instructed,8,4,12
instructions,1,3,4
instrumental,1,1,2
instruments,0,1,1
insu,0,1,1
insubordinate,1,1,2
insufficient,0,2,2
insulin,0,2,2
insult,4,1,5
insulted,2,0,2
insulting,3,2,5
insults,1,0,1
insuranc,0,1,1
insurance,30,20,50
insure,1,1,2
insurers,0,1,1
insurrectio,0,1,1
insurrection,1,1,2
insurrectionists,1,0,1
int,13,30,43
intact,1,3,4
inte,1,0,1
integrated,0,1,1
integrity,4,10,14
intel,20,12,32
inteligence,0,2,2
intellect,1,1,2
intellects,0,1,1
intellectual,4,7,11
intellectually,0,1,1
intellig,0,1,1
intelligence,37,81,118
intelligent,0,6,6
intelligently,1,1,2
intend,0,2,2
intended,4,5,9
intends,0,1,1
intense,3,8,11
intensified,1,0,1
intensifies,0,1,1
intensity,0,1,1
intensive,2,3,5
intent,6,5,11
intention,6,9,15
intentional,1,0,1
intentionally,1,1,2
intentions,4,2,6
inter,0,1,1
interact,1,0,1
interaction,0,1,1
interactions,1,1,2
interagency,0,2,2
intercepts,1,1,2
interchange,0,4,4
interconnect,0,1,1
intercontinental,0,1,1
interdictact,0,1,1
interested,14,18,32
interesting,17,89,106
interestingly,0,2,2
interestingtimesahead,0,1,1
interests,5,41,46
interfe,1,0,1
interfere,2,6,8
interfered,0,2,2
interferenc,0,1,1
interference,6,5,11
interfering,9,0,9
intergovernmental,0,1,1
interim,1,4,5
interio,0,4,4
interiors,0,1,1
intermediaries,0,1,1
intermediary,0,1,1
intermediate,0,2,2
intern,2,2,4
internal,1,8,9
internals,0,1,1
international,7,45,52
internationalwomensday,0,2,2
internet,11,10,21
interpret,1,0,1
interpreted,1,0,1
interrogation,1,0,1
interrupt,0,1,1
interrupted,1,0,1
interrupting,0,1,1
interruption,1,0,1
interruptions,1,2,3
interrupts,0,1,1
intersection,1,1,2
interstates,0,1,1
intervene,1,0,1
intervening,0,1,1
interventions,2,0,2
interview,38,216,254
interviewe,2,1,3
interviewed,10,216,226
interviewee,0,1,1
interviewing,5,4,9
interviews,4,28,32
intestinal,0,1,1
inthistogethe,0,1,1
intimacy,0,1,1
intimating,0,1,1
intimidate,0,1,1
intimidated,1,2,3
intimidates,0,1,1
intimidating,2,1,3
intimidation,0,1,1
intl,1,3,4
intolerable,1,0,1
intraday,0,1,1
intransigence,0,1,1
intro,0,6,6
introdu,0,1,1
introduce,0,3,3
introduced,3,9,12
introduces,0,3,3
introducing,1,6,7
introduction,0,4,4
intros,0,1,1
intrusion,0,1,1
ints,1,0,1
intuitive,0,2,2
intvw,0,1,1
inundaciones,0,1,1
inv,0,3,3
invade,3,1,4
invaded,4,2,6
invading,2,1,3
invalid,4,1,5
invalidate,0,1,1
invalidated,1,0,1
invalides,0,1,1
invaluable,1,4,5
invasion,6,6,12
invented,1,0,1
inventing,2,0,2
invention,1,0,1
inventors,1,0,1
inversions,0,1,1
inverted,0,1,1
invest,5,9,14
invested,3,1,4
investig,0,1,1
investiga,1,0,1
investigared,1,0,1
investigate,25,25,50
investigated,10,14,24
investigates,0,2,2
investigating,13,20,33
investigation,86,83,169
investigational,0,2,2
investigationclappe,0,1,1
investigations,9,19,28
investigative,1,3,4
investigato,2,2,4
investigators,11,5,16
investigatorshttps,0,1,1
investigatory,0,1,1
investing,1,10,11
investment,7,18,25
investments,1,12,13
investo,0,2,2
investors,0,1,1
invigorating,0,1,1
invisible,9,9,18
invitation,3,5,8
invitational,0,3,3
invite,1,6,7
invited,2,5,7
inviting,1,10,11
invo,1,0,1
invoke,2,1,3
invoked,0,1,1
invoking,0,2,2
involve,0,2,2
involved,31,36,67
involvement,2,4,6
involves,0,1,1
involving,5,4,9
inyokern,0,1,1
ioc,0,2,2
iowa,52,238,290
iowacaucus,0,3,3
iowacaucuses,1,2,3
iowadonald,1,0,1
iowan,0,3,3
iowans,2,4,6
iowastrong,0,1,1
iowavs,0,1,1
ip,2,0,2
iphone,41,43,84
iphones,0,1,1
ipo,0,1,1
ips,0,2,2
ipsos,0,2,2
iq,9,7,16
ira,1,1,2
iran,252,36,288
irandeal,0,4,4
irani,0,1,1
iranian,31,9,40
iranians,8,2,10
iranprotests,1,1,2
irans,2,0,2
iraq,51,26,77
iraqi,2,1,3
iraqis,0,3,3
irch,0,1,1
ireland,2,14,16
irfministerial,0,1,1
irgc,1,3,4
irish,0,5,5
irishgirl,0,1,1
irma,0,9,9
irmahurricane,0,1,1
iron,1,5,6
ironic,2,6,8
ironically,0,1,1
irony,1,2,3
irrational,1,2,3
irrationally,2,0,2
irredeemable,0,1,1
irredeemably,0,1,1
irrefutable,1,0,1
irregula,0,1,1
irregularities,1,1,2
irrelevant,10,3,13
irreparable,0,2,2
irresponsible,2,1,3
irresponsibly,1,0,1
irrevocably,1,0,1
irs,0,1,1
irving,0,2,2
irwin,0,1,1
ish,0,1,1
isikoff,1,1,2
isil,2,0,2
isis,101,94,195
isistrump,0,1,1
islam,3,5,8
islami,1,0,1
islamic,19,21,40
islamist,0,2,2
islamophobe,1,0,1
islamophobia,1,0,1
islan,0,1,1
island,7,25,32
islande,0,1,1
islanders,0,1,1
islands,1,4,5
isle,0,2,2
isn,40,31,71
isnt,13,8,21
isolate,0,2,2
isolated,1,0,1
israel,47,70,117
israeli,2,5,7
issa,1,1,2
issuance,0,1,1
issue,23,47,70
issued,10,10,20
issues,21,31,52
issuing,3,0,3
isuppo,0,1,1
italian,0,3,3
italy,2,18,20
itch,0,1,1
item,1,0,1
items,3,4,7
itisntabouther,0,1,1
itll,0,1,1
itmexico,1,0,1
itsa,0,1,1
itthis,1,0,1
itvideo,0,1,1
ivana,0,1,1
ivanka,3,34,37
ivankatrump,0,1,1
ive,10,11,21
ivoire,0,1,1
ivoted,1,1,2
ivy,0,1,1
iwd,0,1,1
iwo,0,2,2
iwojima,0,1,1
ix,0,1,1
ja,2,0,2
jab,0,1,1
jabe,0,2,2
jabronis,0,1,1
jacinda,1,0,1
jack,3,25,28
jackals,0,1,1
jacket,1,0,1
jackie,0,5,5
jackson,10,22,32
jacksonville,0,9,9
jacob,1,2,3
jacobs,0,3,3
jacobus,0,1,1
jacques,1,0,1
jae,0,2,2
jag,0,1,1
jai,0,1,1
jail,31,10,41
jailing,0,1,1
jails,1,1,2
jains,0,2,2
jake,2,4,6
jam,1,1,2
jamaica,1,2,3
jamal,1,0,1
jambo,0,1,1
james,66,74,140
jamestown,0,2,2
jamie,1,4,5
jamiel,0,2,2
jams,3,0,3
jan,0,5,5
jane,0,3,3
january,17,30,47
japan,13,98,111
japanese,2,6,8
japans,1,0,1
jared,2,8,10
jarrett,3,8,11
jason,4,16,20
javelin,1,0,1
javits,1,2,3
javitzsucks,1,0,1
jaw,1,1,2
jaws,0,1,1
jay,12,23,35
jayapal,1,0,1
jazz,1,0,1
jcope,1,1,2
jealous,7,3,10
jean,0,2,2
jeanine,0,5,5
jeanne,0,3,3
jeb,101,87,188
jebbush,1,3,4
jebs,2,0,2
jed,0,1,1
jeff,36,52,88
jefferson,3,0,3
jefferyepstein,1,0,1
jeffres,0,2,2
jeffress,0,7,7
jeffrey,1,3,4
jeh,0,3,3
jemele,0,1,1
jen,0,1,1
jenkins,0,2,2
jenna,1,0,1
jennife,3,3,6
jenny,0,1,1
jens,0,1,1
jentezen,0,1,1
jeopardize,0,1,1
jeopardized,0,1,1
jeopardizing,1,0,1
jeopardy,3,2,5
jeremy,0,2,2
jerk,2,0,2
jerks,0,1,1
jerome,5,7,12
jerry,14,29,43
jersey,4,39,43
jerseyans,1,0,1
jerus,0,1,1
jerusalem,3,14,17
jesse,4,6,10
jessica,0,2,2
jessie,0,1,1
jesus,1,5,6
jet,3,16,19
jeter,0,1,1
jetliners,1,0,1
jets,0,1,1
jewel,0,2,2
jewelry,0,1,1
jewish,9,15,24
jews,2,8,10
jexit,0,1,1
jexodus,2,0,2
jfk,2,2,4
jfkfiles,0,3,3
ji,0,1,1
jiatfsouth,0,1,1
jihad,0,1,1
jihadi,0,1,1
jihadis,0,1,1
jihadist,0,1,1
jihadists,1,0,1
jihadistst,0,1,1
jill,3,6,9
jilted,1,0,1
jim,11,68,79
jima,0,2,2
jimmy,3,6,9
jimmyfallon,0,1,1
jindal,1,3,4
jinping,4,7,11
jinx,1,0,1
jldonaldtrump,0,1,1
joan,2,28,30
joanrivers,1,1,2
joaquin,3,0,3
job,186,634,820
jobless,15,1,16
joblessness,0,1,1
jobs,340,373,713
jobsborde,1,1,2
jobsma,0,1,1
jobsmatter,0,1,1
jobsnotmobs,1,10,11
jobsrepo,2,2,4
jobssecurityhealth,0,1,1
jodey,0,3,3
joe,210,172,382
joes,3,2,5
joetheismann,0,1,1
joey,0,1,1
john,104,224,328
johnathan,1,0,1
johnkasich,0,2,2
johnny,1,5,6
johnryde,0,1,1
johns,0,7,7
johnso,0,1,1
johnson,3,34,37
johnstown,1,2,3
join,9,323,332
joined,5,44,49
joining,4,44,48
joins,4,12,16
joint,3,39,42
jointaddress,0,1,1
jointsession,0,1,1
joke,50,28,78
jokes,0,1,1
jokeste,1,0,1
jokingly,0,1,1
joko,0,1,1
jon,10,15,25
jonah,2,1,3
jonas,0,5,5
jonathan,1,11,12
jonathanaldridge,0,1,1
jones,4,23,27
jonesboro,0,1,1
jong,15,44,59
joni,1,6,7
jordan,5,17,22
jordansviewexpress,0,1,1
jorge,0,1,1
jose,2,4,6
joseph,5,7,12
josh,6,11,17
joshua,0,2,2
jou,0,1,1
journa,1,0,1
journal,14,32,46
journali,0,1,1
journalism,20,5,25
journalismisdead,0,1,1
journalist,5,9,14
journalistic,5,4,9
journalists,8,15,23
journey,2,10,12
journeyed,1,0,1
journos,0,2,2
jovita,0,3,3
joy,2,6,8
joyce,0,1,1
joyful,0,1,1
joyous,0,2,2
jqh,0,1,1
jt,0,1,1
jtf,0,1,1
ju,1,2,3
juan,6,11,17
juanita,1,0,1
juaquin,3,0,3
judd,1,6,7
jude,0,1,1
judes,0,1,1
judge,29,67,96
judged,3,0,3
judgement,30,4,34
judgements,1,0,1
judges,26,37,63
judgeships,0,4,4
judgme,1,0,1
judgment,7,3,10
judicial,20,19,39
judiciary,9,20,29
judy,0,5,5
juice,1,0,1
juicy,0,1,1
juillet,0,1,1
jul,1,0,1
julian,1,3,4
juliana,0,1,1
julie,0,1,1
juliet,0,1,1
july,11,52,63
jump,1,12,13
jumped,0,3,3
jumping,0,1,1
jumps,0,3,3
juncke,0,1,1
june,10,62,72
juneteenth,1,0,1
jung,1,1,2
junio,1,1,2
junk,1,0,1
junto,1,0,1
juntos,0,1,1
jupite,0,5,5
jurisdiction,3,2,5
jurisdictions,1,1,2
jurists,1,0,1
juro,1,1,2
jury,7,11,18
jus,1,2,3
jussie,0,2,2
just,787,1342,2129
justamatteroftime,0,1,1
justi,2,1,3
justice,105,167,272
justiceact,0,1,1
justicedepartment,0,1,1
justicekavanaugh,1,0,1
justices,12,19,31
justifiable,0,1,1
justification,3,2,5
justified,1,4,5
justify,2,2,4
justifying,0,1,1
justin,4,4,8
justly,0,1,1
justneve,1,0,1
justrunbaby,0,1,1
justsaying,0,1,1
jw,1,16,17
jwprez,1,0,1
ka,0,1,1
kabul,2,0,2
kaepernick,0,1,1
kag,8,99,107
kagame,0,1,1
kahn,0,4,4
kai,0,1,1
kaine,20,3,23
kaleb,0,1,1
kaljulaid,0,1,1
kamala,3,4,7
kameron,0,1,1
kamp,0,1,1
kanbari,1,0,1
kangaro,1,1,2
kangaroo,4,2,6
kansans,0,1,1
kansas,5,30,35
kansascaucus,0,1,1
kanye,1,7,8
karbala,1,0,1
kardashians,0,1,1
karen,4,12,16
karl,7,4,11
karlan,0,1,1
karma,1,1,2
kash,1,1,2
kashmi,0,1,1
kasich,38,28,66
kasick,0,1,1
kasie,1,0,1
kassam,1,0,1
kat,0,1,1
kate,14,13,27
katelyn,0,1,1
kates,0,1,1
kateslaw,2,3,5
kathleen,0,1,1
kathryn,2,1,3
kathy,1,1,2
katie,5,12,17
katrina,0,4,4
kavanaugh,18,42,60
kavanough,1,0,1
kay,0,4,4
kayleigh,1,3,4
kazakhstan,0,1,1
kazianis,1,0,1
ke,0,2,2
keane,0,3,3
kearsarge,0,1,1
keepam,1,0,1
keepameric,0,1,1
keepamericagreat,0,12,12
keepi,0,1,1
keepin,0,1,1
keeping,13,48,61
keepingitreal,0,1,1
keeps,13,17,30
keesle,0,1,1
keisha,1,1,2
keith,2,12,14
kelle,0,6,6
kelli,0,1,1
kellie,0,1,1
kellogg,1,2,3
kelly,12,47,59
kellyanne,4,3,7
kellyfile,2,3,5
kellys,1,0,1
kemp,0,12,12
ken,3,12,15
kenansville,0,1,1
kenlangone,0,1,1
kenn,0,1,1
kennebec,0,1,1
kennedy,2,16,18
kennel,1,0,1
kenneth,0,2,2
kenstar,0,1,1
kent,2,4,6
kentuckians,0,1,1
kentucky,17,65,82
kentuky,1,0,1
kenya,14,10,24
kenyan,0,1,1
kenyatta,0,1,1
kept,10,36,46
ker,0,2,2
kerens,0,1,1
kerry,14,10,24
kerrys,0,2,2
ketay,1,0,1
kevin,15,54,69
key,11,40,51
keyboard,0,1,1
keynote,3,7,10
keynoting,0,4,4
keys,2,1,3
keystone,2,6,8
keystonepipeline,0,1,1
kfmotmqfnn,0,1,1
kgb,0,1,1
khamenei,2,0,2
khan,5,4,9
kiawah,0,1,1
kick,3,23,26
kickass,0,1,1
kicked,5,5,10
kicking,4,5,9
kickoff,0,1,1
kicks,1,2,3
kid,0,4,4
kidding,2,12,14
kiddingly,0,1,1
kidnapped,1,0,1
kidnappers,0,1,1
kidnapping,2,0,2
kidney,2,0,2
kids,8,18,26
kiev,1,0,1
kil,0,1,1
kill,26,12,38
killary,1,0,1
kille,8,2,10
killed,88,30,118
killers,5,6,11
killing,54,38,92
killings,6,0,6
kills,2,2,4
killthevirus,0,1,1
kilmeade,1,1,2
kilometre,0,1,1
kim,23,73,96
kimberley,0,6,6
kimberly,1,2,3
kimguilfoyle,0,1,1
kimmel,0,4,4
kimmels,1,0,1
kin,1,0,1
kind,21,67,88
kinda,1,3,4
kinde,0,1,1
kindness,0,4,4
kinds,1,5,6
king,11,48,59
kingdom,7,25,32
kingly,0,1,1
kingofthedeal,0,1,1
kingpin,1,0,1
kings,0,1,1
kinston,0,1,1
kippu,1,2,3
kirby,0,1,1
kiriakou,1,0,1
kirk,0,4,4
kirkwood,0,1,1
kirsten,2,1,3
kirstie,0,2,2
kirstjen,0,1,1
kislyak,2,7,9
kiss,0,3,3
kissed,1,2,3
kissel,1,0,1
kissers,0,1,1
kisses,0,1,1
kissing,0,2,2
kissinge,0,1,1
kit,0,1,1
kitchen,3,1,4
kits,2,0,2
kizzy,0,1,1
kkk,0,4,4
klacik,1,0,1
klobucha,2,1,3
km,0,1,1
kn,1,0,1
kne,0,1,1
knee,3,2,5
kneecap,1,0,1
kneel,1,5,6
kneeled,0,2,2
kneeling,2,7,9
knees,2,2,4
knew,75,70,145
knife,2,1,3
knight,0,15,15
knights,0,2,2
knitwit,1,0,1
knives,1,0,1
kno,1,1,2
knock,4,4,8
knocked,1,2,3
knocking,3,1,4
knockout,0,2,2
knockouts,0,1,1
knocks,1,3,4
know,270,378,648
knowhow,0,1,1
knowing,10,15,25
knowingly,14,11,25
knowledg,0,1,1
knowledge,11,32,43
knowledgeable,1,1,2
knowles,0,1,1
known,17,41,58
knows,59,117,176
knoxville,0,3,3
kobach,0,2,2
kobe,1,1,2
koch,3,6,9
kodiak,0,1,1
koepka,0,1,1
kokugikan,0,1,1
kong,4,4,8
kongers,0,3,3
kooky,0,1,1
koran,1,0,1
korea,105,146,251
korean,5,14,19
koreans,1,0,1
kornhause,0,3,3
korus,0,1,1
kosovo,0,1,1
koste,0,1,1
kowtow,1,0,1
kraft,0,7,7
krauthamme,0,2,2
kravis,1,2,3
kreme,0,2,2
kremlin,3,2,5
kris,0,4,4
kristian,0,1,1
kristin,0,1,1
kristol,3,0,3
kristy,0,1,1
kroll,0,1,1
kruczek,1,0,1
krugman,3,2,5
krysten,1,1,2
krzanich,0,1,1
ks,2,4,6
ksa,0,1,1
ksleg,1,0,1
kt,1,0,1
ku,1,2,3
kudlow,1,4,5
kudos,0,5,5
kuhne,0,1,1
kupperman,1,0,1
kurdish,0,2,2
kurds,12,22,34
kurtz,0,2,2
kushne,2,5,7
kustoff,0,3,3
kuwait,0,2,2
kvirikashvili,0,1,1
ky,3,6,9
kygov,0,1,1
kyl,0,1,1
kyle,1,1,2
kysen,0,1,1
la,3,17,20
lab,1,1,2
labeled,0,3,3
labels,2,0,2
labo,7,19,26
laborday,1,4,5
labordayweekend,0,1,1
labou,0,1,1
labrado,1,0,1
labs,1,0,1
laced,1,0,1
lack,18,8,26
lacked,0,1,1
lackeys,0,1,1
lacking,4,0,4
lacks,0,1,1
laconia,0,1,1
lacrosse,0,1,1
lacy,0,5,5
ladd,0,1,1
laden,2,1,3
ladies,0,3,3
ladin,1,0,1
lady,7,63,70
lafayette,1,4,5
laffe,2,2,4
lagging,1,0,1
lago,5,22,27
lagov,0,3,3
laguardia,1,0,1
lahren,0,1,1
laid,1,10,11
lairs,1,0,1
lake,2,13,15
lakeland,0,1,1
lakes,0,3,3
lama,1,1,2
lamb,1,6,7
lambthesham,0,1,1
lame,4,2,6
lamestream,44,28,72
lamm,0,1,1
lance,0,4,4
land,2,35,37
landed,1,45,46
landfall,0,3,3
landing,2,27,29
landlord,0,1,1
landmark,2,1,3
landmarks,1,0,1
lands,3,4,7
landscape,0,1,1
landslide,10,23,33
landslides,1,0,1
landslidevictory,1,0,1
lane,0,4,4
lanes,1,3,4
langone,0,1,1
language,9,7,16
languages,0,1,1
lanhee,0,1,1
lanka,6,0,6
lankford,0,1,1
lanny,3,0,3
lap,1,2,3
lapdog,1,1,2
lapdogs,0,1,1
lapierre,0,1,1
lapse,0,2,2
laptop,2,0,2
lara,1,5,6
laredo,2,2,4
large,64,90,154
largebanks,0,1,1
largely,12,6,18
largest,11,37,48
larry,1,8,9
lars,0,1,1
las,8,45,53
lash,0,1,1
lashed,0,1,1
lashing,0,1,1
lasted,1,0,1
lasting,0,5,5
lastly,0,1,1
lastnight,0,1,1
lasts,0,1,1
lasvegasstrong,0,1,1
late,67,64,131
lately,9,5,14
lateness,2,0,2
latenow,1,0,1
later,0,1,1
laterou,0,1,1
latest,9,58,67
latin,1,1,2
latina,0,3,3
latino,5,10,15
latinos,8,7,15
latitude,1,0,1
latte,2,1,3
latvia,0,1,1
lauderdale,0,1,1
lauds,0,1,1
laue,4,0,4
laugh,5,8,13
laughable,2,1,3
laughed,10,2,12
laughin,0,1,1
laughing,12,16,28
laughingly,0,1,1
laughingstock,2,0,2
laughs,1,2,3
laughte,0,1,1
lauging,0,1,1
launc,0,1,1
launch,10,20,30
launchamerica,2,1,3
launched,8,21,29
launches,1,7,8
launching,1,7,8
laundered,1,0,1
laundering,1,0,1
launders,0,1,1
laura,3,13,16
lauraloome,0,1,1
laurel,0,1,1
lauren,0,1,1
laurence,0,1,1
laurencetribe,1,1,2
lava,6,0,6
lavrov,1,1,2
law,144,225,369
lawandorde,0,2,2
lawandorder,1,0,1
lawenforcementappreciationday,0,2,2
lawenforcementappreciationdaypresident,0,1,1
lawfare,2,0,2
lawful,3,6,9
lawfully,0,1,1
lawfulness,1,0,1
lawin,0,1,1
lawless,1,3,4
lawlessness,2,2,4
lawmake,2,2,4
lawmakers,3,10,13
lawn,2,4,6
lawns,0,1,1
lawrence,4,8,12
laws,72,67,139
lawsuit,17,18,35
lawsuits,5,6,11
lawye,33,61,94
lawyer,1,0,1
lawyerly,0,1,1
lawyers,35,18,53
laxalt,0,2,2
lay,4,1,5
laye,0,1,1
layin,0,1,1
laying,1,3,4
layoffs,1,1,2
lays,0,3,3
lazy,0,3,3
lbj,0,1,1
lc,1,0,1
ld,1,0,1
ldonaldtrump,0,1,1
ldtpoll,0,1,1
le,1,3,4
lead,49,106,155
leade,58,141,199
leader,1,1,2
leaders,59,129,188
leadersh,0,1,1
leadership,62,150,212
leadin,1,0,1
leading,19,79,98
leadrigh,0,1,1
leadright,0,3,3
leadrighth,0,1,1
leads,8,37,45
league,11,12,23
leagues,1,2,3
leah,0,1,1
leak,14,4,18
leake,9,7,16
leaked,20,13,33
leakers,6,5,11
leakfest,1,0,1
leakin,3,6,9
leaking,17,7,24
leaks,14,13,27
leaky,0,1,1
lean,1,1,2
leaned,1,0,1
leaning,0,2,2
leap,0,1,1
leaps,0,2,2
learn,22,59,81
learned,13,22,35
learning,11,4,15
lease,1,1,2
leave,56,41,97
leaves,7,2,9
leaving,64,87,151
lebanon,1,3,4
lebron,0,3,3
lecture,1,1,2
lectured,1,4,5
lecturing,1,2,3
led,40,31,71
ledge,1,4,5
lee,4,14,18
leeds,0,1,1
leeville,0,1,1
leeza,3,6,9
leezagibbons,0,1,1
left,239,143,382
leftie,0,1,1
lefties,1,1,2
leftist,4,2,6
leftists,0,3,3
lefts,0,1,1
leftwardmaking,0,1,1
leftwing,1,2,3
lefty,0,2,2
leg,1,0,1
legacies,0,1,1
legacy,6,12,18
legal,33,65,98
legalize,1,0,1
legalized,0,1,1
legalizing,1,0,1
legally,12,8,20
legend,1,13,14
legendary,1,25,26
legends,0,2,2
legion,3,2,5
legions,1,0,1
legisl,1,0,1
legislate,5,2,7
legislating,2,0,2
legislation,31,34,65
legislative,6,12,18
legislatively,0,1,1
legislators,1,0,1
legislature,1,0,1
legit,3,1,4
legitimate,3,6,9
legitimately,1,0,1
legitimize,3,0,3
legs,3,1,4
lehighvalleylive,1,0,1
lehman,2,2,4
leibowitz,0,1,1
leisure,0,1,1
lemon,4,4,8
lemons,0,1,1
lend,0,1,1
lende,0,1,1
lenders,0,1,1
lending,1,0,1
length,4,3,7
lengthening,0,1,1
lengths,0,1,1
lengthy,1,0,1
leniency,1,0,1
lenin,0,3,3
leno,1,0,1
lenses,1,0,1
leo,0,3,3
leon,0,1,1
leonard,0,1,1
leonnig,0,1,1
leopoldo,0,1,1
leos,0,2,2
leppe,0,1,1
les,0,1,1
lesko,0,4,4
lesley,0,1,1
lesm,3,13,16
lesmharrisburg,0,1,1
lesse,3,1,4
lessen,3,0,3
lesson,3,5,8
lessons,0,6,6
lest,0,1,1
leste,1,0,1
let,143,348,491
letdown,0,1,1
lethal,6,4,10
lethargic,1,0,1
letitia,0,1,1
letizia,0,1,1
lets,11,93,104
letsdothis,0,1,1
letsdothisamerica,0,1,1
letstalkbusiness,0,1,1
lette,20,35,55
letterman,4,9,13
letters,2,3,5
letting,8,7,15
lev,0,1,1
level,49,86,135
leveled,1,0,1
levell,0,1,1
levels,12,18,30
leverage,4,2,6
leveraging,0,1,1
levin,11,33,44
levine,0,2,2
levinson,1,0,1
lewandowski,1,12,13
lewis,4,1,5
lexington,0,3,3
leza,1,0,1
lfven,1,1,2
lgbt,0,5,5
li,2,1,3
lia,15,31,46
liabilities,2,1,3
liability,4,5,9
liable,1,0,1
liangelo,1,0,1
liar,1,0,1
